"MAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,
Personal income (Percent of U.S.) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
Combined Statistical Area,,,,,,,
GeoFips,GeoName,2012,2013,2014,2015,2016,2017
89446,"Pullman-Moscow, WA-ID (Combined Statistical Area)",0,0,0,0,0,0
89448,"Quincy-Hannibal, IL-MO (Combined Statistical Area)",0,0,0,0,0,0
89450,"Raleigh-Durham-Chapel Hill, NC (Combined Statistical Area)",0.6,0.6,0.6,0.6,0.7,0.7
89452,"Rapid City-Spearfish, SD (Combined Statistical Area)",0,0,0,0,0,0
89454,"Redding-Red Bluff, CA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89456,"Reno-Carson City-Fernley, NV (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89458,"Richmond-Connersville, IN (Combined Statistical Area)",0,0,0,0,0,0
89462,"Rochester-Austin, MN (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89464,"Rochester-Batavia-Seneca Falls, NY (Combined Statistical Area)",0.4,0.4,0.3,0.3,0.3,0.3
89466,"Rockford-Freeport-Rochelle, IL (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89468,"Rocky Mount-Wilson-Roanoke Rapids, NC (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89470,"Rome-Summerville, GA (Combined Statistical Area)",0,0,0,0,0,0
89472,"Sacramento-Roseville, CA (Combined Statistical Area)",0.8,0.8,0.8,0.8,0.8,0.8
89474,"Saginaw-Midland-Bay City, MI (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89476,"St. Louis-St. Charles-Farmington, MO-IL (Combined Statistical Area)",1,0.9,0.9,0.9,0.9,0.9
89482,"Salt Lake City-Provo-Orem, UT (Combined Statistical Area)",0.6,0.6,0.6,0.7,0.7,0.7
89484,"San Antonio-New Braunfels-Pearsall, TX (Combined Statistical Area)",0.6,0.6,0.7,0.7,0.7,0.7
89488,"San Jose-San Francisco-Oakland, CA (Combined Statistical Area)",3.8,3.9,4,4.2,4.3,4.4
89496,"Savannah-Hinesville-Statesboro, GA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89500,"Seattle-Tacoma, WA (Combined Statistical Area)",1.7,1.7,1.7,1.8,1.8,1.9
89512,"Sioux City-Vermillion, IA-SD-NE (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89515,"South Bend-Elkhart-Mishawaka, IN-MI (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89520,"Springfield-Branson, MO (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89521,"Springfield-Greenfield Town, MA (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89522,"Springfield-Jacksonville-Lincoln, IL (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89524,"State College-DuBois, PA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89525,"Steamboat Springs-Craig, CO (Combined Statistical Area)",0,0,0,0,0,0
89532,"Syracuse-Auburn, NY (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89533,"Tallahassee-Bainbridge, FL-GA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89534,"Toledo-Port Clinton, OH (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89536,"Tucson-Nogales, AZ (Combined Statistical Area)",0.3,0.3,0.3,0.3,0.3,0.3
89538,"Tulsa-Muskogee-Bartlesville, OK (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.3,0.3
89540,"Tyler-Jacksonville, TX (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89544,"Victoria-Port Lavaca, TX (Combined Statistical Area)",0,0,0,0,0,0
89545,"Virginia Beach-Norfolk, VA-NC (Combined Statistical Area)*",0.6,0.5,0.5,0.5,0.5,0.5
89546,"Visalia-Porterville-Hanford, CA (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA (Combined Statistical Area)*",3.9,3.8,3.7,3.8,3.8,3.8
89554,"Wausau-Stevens Point-Wisconsin Rapids, WI (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89556,"Wichita-Arkansas City-Winfield, KS (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89558,"Williamsport-Lock Haven, PA (Combined Statistical Area)",0,0,0,0,0,0
89566,"Youngstown-Warren, OH-PA (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
